,CID,MolMR,NumRotatableBonds,NumHAcceptors,NumHDonors,TPSA,LabuteASA,MolLogP,qvina,rfscore_qvina,plants,rfscore_plants,r_inhibition_at_50_uM,f_inhibition_at_50_uM,r_active,f_active
11,LOR-NOR-30067bb9-2,79.70070000000003,3,4,1,72.47,126.45535045726105,2.4868200000000003,-7.4,6.286364335997334,-79.1245,6.624474805805303,83.6881761292176,0.0383509,1,0
12,LOR-NOR-30067bb9-3,84.68950000000005,5,3,0,46.61,132.80706607069428,3.338400000000002,-7.0,6.3019603542568525,-81.623,6.426581883671881,7.22822162612196,3.4707574999999995,0,0
13,LOR-NOR-30067bb9-4,94.05150000000003,5,4,0,55.84,147.84983479335747,3.3744200000000024,-6.9,6.350552213675207,-79.6862,6.370631709734706,48.0703003527665,-0.70654175,0,0
14,LOR-NOR-30067bb9-5,84.80950000000003,4,3,0,46.61,132.80706607069428,3.2567200000000014,-7.0,6.127184905261401,-77.9002,6.271770377955372,77.0005936615092,5.6538095,1,0
15,LOR-NOR-30067bb9-6,87.27350000000001,4,3,0,46.61,136.37134744945394,3.577300000000002,-6.4,6.156683113109112,-75.672,6.257379325230316,72.1822186261689,3.6403865,1,0
16,LOR-NOR-30067bb9-7,93.94550000000002,4,4,0,55.84,147.84983479335742,3.5042200000000028,-6.6,5.97920129004329,-74.4811,6.600449714063719,99.2708394698826,0.559038305,1,0
17,LOR-NOR-30067bb9-8,82.93420000000003,3,3,1,66.48,127.10163889795756,2.1630200000000004,-6.8,6.162804875901879,-76.7668,6.76260978632479,53.6831043978543,-1.4204584999999998,1,0
18,LOR-NOR-30067bb9-9,103.50520000000004,6,4,1,75.71000000000002,157.67495258505085,2.9880000000000013,-7.1,6.6310296527361485,-76.3393,6.733418275613272,12.962567667174302,-0.84077,0,0
19,LOR-NOR-30067bb9-10,80.77750000000002,2,3,0,61.17,133.4509751899454,3.1893800000000017,-7.3,6.738678894882899,-77.9779,6.867338910589408,72.113644347676,-0.39088455,1,0
20,LOR-NOR-30067bb9-11,80.81950000000002,2,3,0,61.17,129.2854397870192,3.0502800000000017,-7.4,6.723707550061048,-80.108,6.85169786946387,91.1822971287567,-2.3821817000000003,1,0
21,LOR-NOR-30067bb9-12,78.72120000000002,2,3,1,66.48,125.00691864072466,1.8931,-5.9,6.276158800810298,-72.1664,6.73290307908758,0.0,1.27590535,0,0
22,LOR-NOR-30067bb9-13,50.87220000000002,3,3,1,55.4,85.03732743968284,1.1697,-5.8,5.1808714696969735,-65.4961,5.137489506993009,56.167604150056704,-2.9249945,1,0
23,LOR-NOR-30067bb9-15,58.4417,1,4,1,72.47,98.90086174244176,1.3704999999999998,-6.0,5.151922392607394,-65.8829,5.5569271018425965,61.7045178833531,-5.375026999999999,1,0
24,LOR-NOR-30067bb9-16,64.53170000000001,4,5,1,96.26,108.52072016145893,1.28198,-6.1,5.7279859439449385,-71.544,5.692096188311684,0.0,-1.219854,0,0
25,LOR-NOR-30067bb9-17,87.67120000000004,3,3,1,66.48,133.46658101235417,2.4714400000000003,-7.1,6.429780270229768,-74.7195,6.534163238095237,0.0,-2.0886498,0,0
