CID,MolMR,NumRotatableBonds,NumHAcceptors,NumHDonors,TPSA,LabuteASA,MolLogP
LOR-NOR-30067bb9-3,84.68950000000004,5,3,0,46.61,132.80706607069428,3.338400000000002
LOR-NOR-30067bb9-5,84.80950000000003,4,3,0,46.61,132.80706607069428,3.2567200000000014
LOR-NOR-30067bb9-6,87.27350000000001,4,3,0,46.61,136.37134744945396,3.577300000000002
LOR-NOR-30067bb9-7,93.94550000000002,4,4,0,55.84,147.84983479335742,3.5042200000000028
LOR-NOR-30067bb9-12,78.72120000000002,2,3,1,66.48,125.00691864072466,1.8930999999999998
MAT-POS-c9973a83-1,79.31170000000003,4,3,1,51.22,122.2961095041343,3.233220000000001
COM-UCB-8c7d23dc-15,84.96390000000001,3,5,2,87.97,130.57663625714434,2.3716999999999997
COM-UCB-8c7d23dc-18,92.77090000000003,2,6,2,105.81,141.05690634483943,2.27194
JAG-UCB-119787ef-1,81.22770000000004,3,5,1,69.04,131.98650699722654,2.771200000000001
BRU-THA-a358fbdd-2,80.82870000000004,3,5,1,69.04,128.0481828847415,2.2919
BRU-THA-a358fbdd-7,76.17570000000003,3,5,1,69.04,125.8487761732711,2.2569
LON-WEI-0a73fcb8-2,88.50400000000005,3,4,0,51.66,139.34367929550052,3.272700000000002
LON-WEI-0a73fcb8-3,85.87970000000003,2,5,1,68.52000000000001,140.76207569809492,3.026600000000001
LON-WEI-0a73fcb8-4,89.18170000000005,4,5,1,69.03999999999999,144.71639122601977,2.757320000000001
LON-WEI-0a73fcb8-5,86.96200000000003,2,3,0,42.43000000000001,138.16845817847866,3.917500000000003
LON-WEI-0a73fcb8-6,89.13770000000004,3,4,1,51.22,138.0254679642064,4.424700000000003
LON-WEI-0a73fcb8-7,83.09450000000002,3,4,2,71.45,132.44945421719768,2.732100000000001
LON-WEI-1908424e-1,67.17010000000002,5,5,1,90.06,108.5864635634586,1.1077
LON-WEI-1908424e-3,98.53640000000003,3,9,1,102.52,164.22316067706998,1.2077999999999998
LON-WEI-1908424e-4,112.44480000000003,4,7,2,107.85000000000001,169.25294136824135,2.9106700000000005
LON-WEI-1908424e-6,107.86080000000003,9,7,1,100.0,173.58447695016497,2.9160000000000013
LON-WEI-1908424e-11,109.46120000000002,4,5,1,79.6,168.28490614187768,3.2268000000000017
LON-WEI-1908424e-15,76.2031,2,6,2,102.48,114.03257839734287,1.0921199999999998
NAU-LAT-8502cac5-2,76.61070000000004,3,5,1,69.04,125.62156488282993,2.3811
NAU-LAT-8502cac5-6,89.67670000000003,3,5,1,69.04,142.58966389923336,3.035400000000002
NAU-LAT-8502cac5-8,82.77550000000004,3,6,1,93.94999999999999,133.19509392262458,1.5127
ADA-UCB-6c2cb422-1,85.52870000000003,3,2,1,41.99,127.1343445775694,4.069400000000002
ADA-UCB-6c2cb422-3,83.16040000000004,3,3,2,54.02,124.15321330661779,2.21692
IAN-BAS-5394d4c4-1,124.9486,6,4,3,91.80999999999999,183.63939792955588,4.265400000000002
JAG-UCB-c37fbdcd-1,105.72470000000001,4,3,1,65.64,160.46821225357934,3.6323000000000025
JAN-GHE-c863d918-1,80.41840000000003,4,3,2,71.92,122.41012843702974,1.5259799999999992
VLA-UCB-00f2c2b3-2,77.40140000000001,3,3,2,70.67,115.59328243544986,2.44752
LON-WEI-ff7b210a-2,91.91060000000002,4,6,0,94.31,153.64410928442607,3.3704000000000027
LON-WEI-ff7b210a-3,84.39720000000003,3,3,1,55.4,127.96916743942964,2.895900000000001
LON-WEI-ff7b210a-4,103.79500000000002,5,5,1,89.02,161.71976272902793,3.3766000000000016
LON-WEI-ff7b210a-5,56.10830000000002,3,6,0,86.22,97.5341994771953,0.7101999999999999
LON-WEI-ff7b210a-11,78.01050000000002,3,4,0,29.43,118.15987962834849,4.012100000000002
ALP-POS-d2866bdf-1,113.80600000000001,6,6,0,54.260000000000005,167.16885435251731,3.792200000000003
ROD-LAS-d5538ff9-3,60.89940000000003,3,3,2,70.14,94.35076007284833,1.4400999999999997
ROD-LAS-d5538ff9-4,128.8024,6,5,2,70.79,184.7865957560638,4.716700000000003
ROD-LAS-d5538ff9-9,85.27580000000002,3,5,2,110.05,129.88862212334547,3.1820000000000004
LON-WEI-babf2c61-1,137.9266999999999,8,3,1,62.300000000000004,210.1915414224568,5.790800000000005
LON-WEI-babf2c61-2,137.6536999999999,8,3,1,62.300000000000004,206.25321730997175,5.445820000000005
LON-WEI-babf2c61-3,137.6316999999999,8,4,1,86.09,210.64579699144048,5.009080000000004
