CID,qvina,rfscore_qvina,plants,rfscore_plants
MAT-POS-590ac91e-41,-7.2,7.06016679148629,-80.5952,6.7350479627039626
WAR-XCH-72a8c209-5,-7.6,6.86693483050283,-89.2651,7.109639913780661
GIA-UNK-3f36037a-7,-6.7,6.572156237651242,-74.5853,6.718487336274833
BAR-COM-4e090d3a-10,-8.4,7.454382385281385,-82.1418,7.584858168498168
LON-WEI-b8d98729-36,-7.0,7.197973400876897,-86.4106,7.646245166111666
ALE-UNK-fca05062-4,-6.5,5.9342811341436335,-78.4856,6.111353699467196
CHR-SOS-f7373dd1-4,-6.3,6.3800421678321735,-77.57300000000002,6.6612281230991215
LON-WEI-adc59df6-37,-6.8,7.483932795248865,-75.5535,7.230430194805195
EDJ-MED-49816e9b-5,-6.4,6.386023458652468,-63.3012,6.376748570429576
ADA-UNI-f8e79267-2,-6.6,6.925085308136309,-84.6097,6.986694570707067
LON-WEI-adc59df6-3,-6.1,6.700947149517147,-81.5133,6.7820216558441615
LON-WEI-babf2c61-4,-7.3,7.542470425491168,-89.8355,7.442179178210674
JAN-GHE-83b26c96-8,-6.0,6.578289317293817,-81.9199,6.429856425685429
BEN-DND-7e92b6ca-4,-7.6,7.009868589022084,-80.5622,6.906273788933286
LUI-IND-2c46affe-3,-8.0,6.8290074377844405,-78.5774,6.904091998057496
TAM-UNI-d1c3dd9f-5,-7.2,6.902894592799357,-79.9516,6.186417466810969
DUN-NEW-f8ce3686-14,-6.7,6.957323524198031,-70.7205,7.021643872294371
WAR-XCH-bdd24732-16,-8.6,7.250875609779112,-86.8768,7.225499262293261
GAB-REV-70cc3ca5-3,-6.9,7.065568373737374,-64.7558,6.520662772560775
PAU-UNI-8cdd41c7-1,-6.2,6.708692236374732,-76.6185,6.810328464368963
JAN-GHE-83b26c96-6,-6.0,5.834284408369411,-73.5609,6.798331561938063
LON-WEI-ff7b210a-6,-8.5,7.021560485486737,-74.264,6.418832467532472
JAN-GHE-83b26c96-7,-5.5,6.71210368126318,-71.4818,6.750264342990342
MAT-POS-590ac91e-63,-8.5,6.894332542127809,-79.0287,7.168511324081145
GIA-UNK-30c7cb75-3,-6.7,6.0029695556665565,-70.4291,5.3703840847485855
GAB-REV-70cc3ca5-22,-7.2,7.085904725552227,-72.3715,6.88956029281829
JAN-GHE-83b26c96-22,-5.2,6.186647798978796,-61.0343,6.432314999611504
FRA-BIO-8bf1eac9-9,-6.7,6.883166294316797,-84.4589,6.401368683483182
LON-WEI-b8d98729-30,-6.9,7.501716923909433,-78.5782,7.580499020035522
MAK-UNK-30aad1f1-12,-7.1,6.842708374625379,-64.8403,7.093500320790326
BAR-COM-0f94fc3d-25,-6.3,6.541201735486734,-67.0471,6.709135000332997
BEN-DND-7e92b6ca-7,-9.0,6.937861384004879,-73.1597,7.077491602619598
GIA-UNK-30c7cb75-1,-6.5,6.710726669996675,-76.6202,6.8396719473304435
