clf,mean_test_score,std_test_score,clf__max_depth,clf__n_estimators,clf__n_neighbors,clf__eta
KNeighborsClassifier,0.6709197586726997,0.07306418673991903,,,25.0,
XGBClassifier,0.6795411639014581,0.07582773811158285,3.0,40.0,,0.1
XGBClassifier,0.6894505530417296,0.07918386394119717,3.0,100.0,,0.1
XGBClassifier,0.6946407491201608,0.08207230096047537,3.0,200.0,,0.1
XGBClassifier,0.6935550025138261,0.08551148294333467,3.0,500.0,,0.1
XGBClassifier,0.6920377702362996,0.0854331588853968,3.0,1000.0,,0.1
XGBClassifier,0.6828689165409755,0.07997453121893916,4.0,40.0,,0.1
XGBClassifier,0.6878438159879336,0.08075488874059113,4.0,100.0,,0.1
XGBClassifier,0.6892189039718452,0.08258429028905369,4.0,200.0,,0.1
XGBClassifier,0.6907493338360985,0.08453159136818418,4.0,500.0,,0.1
XGBClassifier,0.6882718451483159,0.08514293460592261,4.0,1000.0,,0.1
XGBClassifier,0.6876544369029665,0.07827889102517396,5.0,40.0,,0.1
XGBClassifier,0.6902913147310205,0.08173895846056907,5.0,100.0,,0.1
XGBClassifier,0.6901295248868778,0.08390192557569603,5.0,200.0,,0.1
XGBClassifier,0.6899915786827552,0.08306297294440994,5.0,500.0,,0.1
XGBClassifier,0.6884638009049773,0.08396360096364333,5.0,1000.0,,0.1
XGBClassifier,0.689094293614882,0.0829702588350524,6.0,40.0,,0.1
XGBClassifier,0.6928252011060836,0.08234528349680066,6.0,100.0,,0.1
XGBClassifier,0.6918570261437909,0.0831272765970495,6.0,200.0,,0.1
XGBClassifier,0.6886196832579187,0.083276588621448,6.0,500.0,,0.1
XGBClassifier,0.6876220713926595,0.0843079520399866,6.0,1000.0,,0.1
XGBClassifier,0.6898706133735546,0.07896770154607802,7.0,40.0,,0.1
XGBClassifier,0.6911751633986927,0.0823040089159684,7.0,100.0,,0.1
XGBClassifier,0.6901355077928606,0.08389249225067943,7.0,200.0,,0.1
XGBClassifier,0.6895461538461539,0.08345159833380293,7.0,500.0,,0.1
XGBClassifier,0.6880351055806938,0.08507500749951141,7.0,1000.0,,0.1
XGBClassifier,0.6889308446455504,0.08174362000599467,8.0,40.0,,0.1
XGBClassifier,0.690647787833082,0.08044390593580161,8.0,100.0,,0.1
XGBClassifier,0.6892792986425339,0.0815057983404,8.0,200.0,,0.1
XGBClassifier,0.6878953619909502,0.08356074681697638,8.0,500.0,,0.1
XGBClassifier,0.6853603695324284,0.08423544335648632,8.0,1000.0,,0.1
XGBClassifier,0.6909621669180495,0.0818480797365448,10.0,40.0,,0.1
XGBClassifier,0.6897862242332832,0.08420367789514624,10.0,100.0,,0.1
XGBClassifier,0.6905264957264957,0.08306533903180718,10.0,200.0,,0.1
XGBClassifier,0.6874592131724485,0.08413043542187942,10.0,500.0,,0.1
XGBClassifier,0.6843853443941681,0.08483392587490625,10.0,1000.0,,0.1
XGBClassifier,0.689094293614882,0.0829702588350524,,40.0,,0.1
XGBClassifier,0.6928252011060836,0.08234528349680066,,100.0,,0.1
XGBClassifier,0.6918570261437909,0.0831272765970495,,200.0,,0.1
