clf,mean_test_score,std_test_score,clf__eta,clf__max_depth,clf__n_estimators
XGBClassifier,0.5892348126805425,0.06362194039573271,0.01,7.0,200
XGBClassifier,0.5811383329267208,0.06110056370772475,0.01,7.0,500
XGBClassifier,0.5749067616959281,0.05841922142901581,0.01,7.0,1000
XGBClassifier,0.5828316263982888,0.057821299061500166,0.01,8.0,50
XGBClassifier,0.5861411431019551,0.06497113946058806,0.01,8.0,100
XGBClassifier,0.5828596390369728,0.06196414146809199,0.01,8.0,200
XGBClassifier,0.5738256335740676,0.06265447176836039,0.01,8.0,500
XGBClassifier,0.5721607843814701,0.06084176099904329,0.01,8.0,1000
XGBClassifier,0.5795831065101751,0.05877714311988706,0.01,9.0,50
XGBClassifier,0.5872549853214242,0.06566183826287768,0.01,9.0,100
XGBClassifier,0.5816403509238316,0.06364805157408274,0.01,9.0,200
XGBClassifier,0.5742057302083482,0.06085642653187903,0.01,9.0,500
XGBClassifier,0.57670275340878,0.06371741064048282,0.01,9.0,1000
XGBClassifier,0.5965181968694157,0.060653369840423146,0.01,,50
XGBClassifier,0.5968593035220074,0.06242609755716029,0.01,,100
XGBClassifier,0.5970634184087903,0.0636475356693428,0.01,,200
XGBClassifier,0.5919340753721949,0.06015795201598661,0.01,,500
XGBClassifier,0.5846428699971224,0.06004667636364139,0.01,,1000
XGBClassifier,0.6125066555935208,0.06289808686429631,0.1,3.0,50
XGBClassifier,0.5915054043149537,0.06842405213167785,0.1,3.0,100
XGBClassifier,0.588042178311611,0.06234150580303938,0.1,3.0,200
XGBClassifier,0.5806935409841539,0.06036241637237422,0.1,3.0,500
XGBClassifier,0.5721552449059177,0.059669316273567856,0.1,3.0,1000
XGBClassifier,0.5924531236784808,0.06852064182862412,0.1,4.0,50
XGBClassifier,0.5871669119897123,0.060634736254866234,0.1,4.0,100
XGBClassifier,0.5804492628627024,0.05923286005586036,0.1,4.0,200
XGBClassifier,0.5695771878723269,0.055540503012251476,0.1,4.0,500
XGBClassifier,0.5668666334684488,0.05730351013878488,0.1,4.0,1000
XGBClassifier,0.5930188158827212,0.06001745252178949,0.1,5.0,50
XGBClassifier,0.5854993107497442,0.06027094978883785,0.1,5.0,100
XGBClassifier,0.5780156654996307,0.058699971228760466,0.1,5.0,200
XGBClassifier,0.570483711078463,0.060292455481182186,0.1,5.0,500
XGBClassifier,0.5708687073161148,0.06085383152611682,0.1,5.0,1000
XGBClassifier,0.5897673381381696,0.05883315015763288,0.1,6.0,50
XGBClassifier,0.5793319583920712,0.06352813928109774,0.1,6.0,100
XGBClassifier,0.5748462971197563,0.056124589438644006,0.1,6.0,200
XGBClassifier,0.5735575581880065,0.06479968008872643,0.1,6.0,500
XGBClassifier,0.5703017609116182,0.06446598112504315,0.1,6.0,1000
XGBClassifier,0.5787304968414629,0.0630149256911252,0.1,7.0,50
XGBClassifier,0.5764497878012977,0.06157824955370553,0.1,7.0,100
XGBClassifier,0.570907186532324,0.0634303355785832,0.1,7.0,200
XGBClassifier,0.5717438296807671,0.060977468195599724,0.1,7.0,500
XGBClassifier,0.5713510686605902,0.05695557958976402,0.1,7.0,1000
XGBClassifier,0.570873098885571,0.05389479387479771,0.1,8.0,50
XGBClassifier,0.5743575058585775,0.05625968366432002,0.1,8.0,100
